Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
libras.csv,MCB,1,"{'k': 7, 'DSEL_perc': 0.2}",0.388888889,0.377777778,0.043493761,0.35,0.684818776,0.427222222,0.118796349,2.975331412
libras.csv,KNORAU,1,"{'k': 8, 'DSEL_perc': 0.2}",0.444444444,0.455555556,0.039809863,0.454444444,0.843067934,0.469997589,0.116453886,3.060811096
libras.csv,METADES,1,"{'k': 3, 'DSEL_perc': 0.5}",0.361111111,0.355555556,0.045692216,0.265555556,0.796524064,0.524537037,0.292632818,5.88619709
libras.csv,AdaBoostClassifier,1,"{'n_estimators': 60, 'learning_rate': 0.144696357300956}",0.416666667,0.411111111,0.041830065,0.35,0.900465439,0.483853815,0.315802097,0.41664309
libras.csv,MCB,2,"{'k': 9, 'DSEL_perc': 0.6}",0.472222222,0.488888889,0.037611408,0.468888889,0.731164587,0.542037037,0.066051006,2.961602476
libras.csv,KNORAU,2,"{'k': 8, 'DSEL_perc': 0.1}",0.583333333,0.6,0.029827689,0.583333333,0.864606853,0.629907479,0.125164509,3.00741858
libras.csv,METADES,2,"{'k': 3, 'DSEL_perc': 0.30000000000000004}",0.527777778,0.544444444,0.033808675,0.46,0.859214696,0.657204586,0.314405203,5.888548162
libras.csv,AdaBoostClassifier,2,"{'n_estimators': 83, 'learning_rate': 0.3625522483026564}",0.555555556,0.555555556,0.031669638,0.471111111,0.918360071,0.574228599,0.421773672,0.379628605
libras.csv,MCB,3,"{'k': 8, 'DSEL_perc': 0.4}",0.527777778,0.5,0.033749257,0.488888889,0.721033868,0.517222222,0.093504906,2.9623376
libras.csv,KNORAU,3,"{'k': 5, 'DSEL_perc': 0.1}",0.611111111,0.577777778,0.027748069,0.516666667,0.949534561,0.66736445,0.127335072,3.051757813
libras.csv,METADES,3,"{'k': 9, 'DSEL_perc': 0.5}",0.5,0.488888889,0.035531788,0.473333333,0.821647851,0.546084656,0.293007851,5.906449424
libras.csv,AdaBoostClassifier,3,"{'n_estimators': 61, 'learning_rate': 0.21504914373493114}",0.388888889,0.4,0.043672014,0.327936508,0.913933452,0.525013577,0.31100297,0.419576963
